letter,image_file,hand_label,detection_confidence,img_width,img_height,lm0_x_raw,lm0_y_raw,lm0_z_raw,lm1_x_raw,lm1_y_raw,lm1_z_raw,lm2_x_raw,lm2_y_raw,lm2_z_raw,lm3_x_raw,lm3_y_raw,lm3_z_raw,lm4_x_raw,lm4_y_raw,lm4_z_raw,lm5_x_raw,lm5_y_raw,lm5_z_raw,lm6_x_raw,lm6_y_raw,lm6_z_raw,lm7_x_raw,lm7_y_raw,lm7_z_raw,lm8_x_raw,lm8_y_raw,lm8_z_raw,lm9_x_raw,lm9_y_raw,lm9_z_raw,lm10_x_raw,lm10_y_raw,lm10_z_raw,lm11_x_raw,lm11_y_raw,lm11_z_raw,lm12_x_raw,lm12_y_raw,lm12_z_raw,lm13_x_raw,lm13_y_raw,lm13_z_raw,lm14_x_raw,lm14_y_raw,lm14_z_raw,lm15_x_raw,lm15_y_raw,lm15_z_raw,lm16_x_raw,lm16_y_raw,lm16_z_raw,lm17_x_raw,lm17_y_raw,lm17_z_raw,lm18_x_raw,lm18_y_raw,lm18_z_raw,lm19_x_raw,lm19_y_raw,lm19_z_raw,lm20_x_raw,lm20_y_raw,lm20_z_raw,lm0_x_norm,lm0_y_norm,lm0_z_norm,lm1_x_norm,lm1_y_norm,lm1_z_norm,lm2_x_norm,lm2_y_norm,lm2_z_norm,lm3_x_norm,lm3_y_norm,lm3_z_norm,lm4_x_norm,lm4_y_norm,lm4_z_norm,lm5_x_norm,lm5_y_norm,lm5_z_norm,lm6_x_norm,lm6_y_norm,lm6_z_norm,lm7_x_norm,lm7_y_norm,lm7_z_norm,lm8_x_norm,lm8_y_norm,lm8_z_norm,lm9_x_norm,lm9_y_norm,lm9_z_norm,lm10_x_norm,lm10_y_norm,lm10_z_norm,lm11_x_norm,lm11_y_norm,lm11_z_norm,lm12_x_norm,lm12_y_norm,lm12_z_norm,lm13_x_norm,lm13_y_norm,lm13_z_norm,lm14_x_norm,lm14_y_norm,lm14_z_norm,lm15_x_norm,lm15_y_norm,lm15_z_norm,lm16_x_norm,lm16_y_norm,lm16_z_norm,lm17_x_norm,lm17_y_norm,lm17_z_norm,lm18_x_norm,lm18_y_norm,lm18_z_norm,lm19_x_norm,lm19_y_norm,lm19_z_norm,lm20_x_norm,lm20_y_norm,lm20_z_norm,bone_0_1_dx,bone_0_1_dy,bone_0_1_dz,bone_1_2_dx,bone_1_2_dy,bone_1_2_dz,bone_2_3_dx,bone_2_3_dy,bone_2_3_dz,bone_3_4_dx,bone_3_4_dy,bone_3_4_dz,bone_0_5_dx,bone_0_5_dy,bone_0_5_dz,bone_5_6_dx,bone_5_6_dy,bone_5_6_dz,bone_6_7_dx,bone_6_7_dy,bone_6_7_dz,bone_7_8_dx,bone_7_8_dy,bone_7_8_dz,bone_0_9_dx,bone_0_9_dy,bone_0_9_dz,bone_9_10_dx,bone_9_10_dy,bone_9_10_dz,bone_10_11_dx,bone_10_11_dy,bone_10_11_dz,bone_11_12_dx,bone_11_12_dy,bone_11_12_dz,bone_0_13_dx,bone_0_13_dy,bone_0_13_dz,bone_13_14_dx,bone_13_14_dy,bone_13_14_dz,bone_14_15_dx,bone_14_15_dy,bone_14_15_dz,bone_15_16_dx,bone_15_16_dy,bone_15_16_dz,bone_0_17_dx,bone_0_17_dy,bone_0_17_dz,bone_17_18_dx,bone_17_18_dy,bone_17_18_dz,bone_18_19_dx,bone_18_19_dy,bone_18_19_dz,bone_19_20_dx,bone_19_20_dy,bone_19_20_dz
A,hand1_a_bot_seg_1_cropped.jpeg,Left,0.8778,400,400,0.468345,0.913494,-0.0,0.652066,0.744791,-0.010908,0.735968,0.510348,-0.007397,0.71186,0.33007,-0.014239,0.651742,0.200398,-0.025089,0.70693,0.50572,0.057236,0.678648,0.342817,0.020341,0.63186,0.250935,-0.024021,0.614057,0.156069,-0.062171,0.584563,0.551946,0.030292,0.518837,0.423665,-0.013562,0.453305,0.342527,-0.068282,0.436111,0.236437,-0.109567,0.458299,0.609315,-0.004298,0.380331,0.482844,-0.052589,0.332887,0.404406,-0.087155,0.33431,0.307719,-0.110355,0.339432,0.665272,-0.039776,0.272772,0.551797,-0.081078,0.238592,0.482902,-0.095587,0.233194,0.409684,-0.103605,0.0,0.0,0.0,0.242561,-0.222732,-0.0144,0.353333,-0.532259,-0.009765,0.321504,-0.770273,-0.018799,0.242132,-0.941474,-0.033124,0.314995,-0.538369,0.075567,0.277656,-0.753443,0.026856,0.215884,-0.874752,-0.031714,0.192379,-1.0,-0.082082,0.153438,-0.477339,0.039994,0.066663,-0.646703,-0.017905,-0.019856,-0.753827,-0.09015,-0.042556,-0.893893,-0.144657,-0.013264,-0.401597,-0.005674,-0.116201,-0.568571,-0.069431,-0.17884,-0.67213,-0.115067,-0.176961,-0.799783,-0.145697,-0.170199,-0.327719,-0.052515,-0.258207,-0.477534,-0.107044,-0.303334,-0.568494,-0.1262,-0.31046,-0.665162,-0.136785,0.183722,-0.168703,-0.010907,0.083902,-0.234443,0.003511,-0.024108,-0.180278,-0.006843,-0.060119,-0.129672,-0.01085,0.238585,-0.407774,0.057236,-0.028282,-0.162903,-0.036895,-0.046788,-0.091882,-0.044362,-0.017803,-0.094866,-0.03815,0.116218,-0.361549,0.030292,-0.065726,-0.128281,-0.043854,-0.065532,-0.081139,-0.05472,-0.017194,-0.10609,-0.041285,-0.010046,-0.30418,-0.004297,-0.077968,-0.12647,-0.048291,-0.047444,-0.078439,-0.034566,0.001423,-0.096687,-0.0232,-0.128913,-0.248223,-0.039776,-0.06666,-0.113474,-0.041302,-0.03418,-0.068895,-0.014509,-0.005397,-0.073218,-0.008018
A,hand1_a_left_seg_3_cropped.jpeg,Right,0.997,400,400,0.398524,0.678883,-1e-06,0.599322,0.632028,-0.080326,0.755764,0.423004,-0.084273,0.769824,0.202542,-0.077648,0.756488,0.061956,-0.053698,0.635793,0.273543,-0.024998,0.616962,0.085661,-0.115178,0.592018,0.212232,-0.155039,0.600346,0.31184,-0.166265,0.488315,0.279094,-0.010048,0.466242,0.111584,-0.110486,0.47059,0.293011,-0.135742,0.491929,0.385655,-0.128201,0.369641,0.30815,-0.012289,0.348478,0.180589,-0.127639,0.369052,0.35977,-0.113929,0.399212,0.447681,-0.074048,0.266987,0.353748,-0.018812,0.25584,0.270502,-0.100109,0.271926,0.39405,-0.089319,0.296083,0.461257,-0.059877,0.0,0.0,0.0,0.325481,-0.075948,-0.130203,0.579064,-0.414763,-0.1366,0.601855,-0.772119,-0.125861,0.580237,-1.0,-0.08704,0.384598,-0.657031,-0.040519,0.354075,-0.961575,-0.186696,0.313642,-0.756412,-0.251308,0.327141,-0.594954,-0.269505,0.145545,-0.648033,-0.016286,0.109767,-0.919556,-0.17909,0.116814,-0.625475,-0.220029,0.151403,-0.475303,-0.207804,-0.046817,-0.600935,-0.019919,-0.081122,-0.807703,-0.206894,-0.047772,-0.517262,-0.184671,0.001115,-0.374764,-0.120026,-0.213213,-0.527023,-0.030492,-0.231283,-0.66196,-0.162269,-0.205208,-0.461696,-0.144779,-0.166051,-0.352757,-0.097056,0.200798,-0.046854,-0.080326,0.156442,-0.209024,-0.003947,0.01406,-0.220462,0.006625,-0.013337,-0.140586,0.02395,0.237269,-0.40534,-0.024997,-0.018831,-0.187881,-0.09018,-0.024944,0.126571,-0.039861,0.008328,0.099608,-0.011226,0.08979,-0.399789,-0.010047,-0.022072,-0.16751,-0.100439,0.004347,0.181427,-0.025256,0.021339,0.092645,0.007542,-0.028883,-0.370733,-0.012288,-0.021163,-0.127561,-0.11535,0.020574,0.179181,0.01371,0.03016,0.087911,0.039881,-0.131537,-0.325134,-0.018811,-0.011148,-0.083246,-0.081297,0.016086,0.123548,0.01079,0.024157,0.067207,0.029442
A,hand1_a_right_seg_5_cropped.jpeg,Right,0.9247,400,400,0.179083,0.514735,0.0,0.192919,0.508632,-0.005831,0.201819,0.495719,-0.007025,0.202429,0.484496,-0.00838,0.199414,0.47525,-0.009643,0.19867,0.473575,-0.001045,0.202741,0.456396,-0.00492,0.206637,0.444003,-0.008928,0.209066,0.434265,-0.01189,0.190542,0.468963,-0.001548,0.193453,0.45121,-0.00452,0.196154,0.438851,-0.008632,0.198637,0.427121,-0.011587,0.181485,0.467614,-0.003153,0.181564,0.45028,-0.007096,0.181986,0.438625,-0.01077,0.182,0.427296,-0.013172,0.171438,0.469221,-0.005409,0.16628,0.456116,-0.010181,0.162254,0.446416,-0.012509,0.158804,0.43788,-0.013614,0.0,0.0,0.0,0.157919,-0.069664,-0.066557,0.259493,-0.217044,-0.080187,0.266457,-0.345142,-0.095653,0.232048,-0.450673,-0.110058,0.223552,-0.469789,-0.01193,0.270023,-0.665872,-0.056157,0.314482,-0.807313,-0.101898,0.342213,-0.918465,-0.135711,0.130785,-0.522429,-0.017671,0.164014,-0.725055,-0.051594,0.194836,-0.866119,-0.098521,0.223173,-1.0,-0.132249,0.027414,-0.537829,-0.035992,0.028314,-0.735669,-0.080994,0.033132,-0.868696,-0.122921,0.033287,-0.998006,-0.150348,-0.08726,-0.519488,-0.06174,-0.146134,-0.66906,-0.116203,-0.192083,-0.779778,-0.142775,-0.231462,-0.877207,-0.155391,0.013836,-0.006104,-0.005831,0.008899,-0.012913,-0.001194,0.00061,-0.011223,-0.001355,-0.003015,-0.009246,-0.001262,0.019586,-0.04116,-0.001045,0.004072,-0.01718,-0.003875,0.003895,-0.012392,-0.004008,0.00243,-0.009739,-0.002963,0.011459,-0.045772,-0.001548,0.002911,-0.017753,-0.002972,0.0027,-0.012359,-0.004111,0.002483,-0.01173,-0.002955,0.002402,-0.047121,-0.003153,7.9e-05,-0.017334,-0.003943,0.000422,-0.011655,-0.003673,1.4e-05,-0.011329,-0.002403,-0.007645,-0.045514,-0.005409,-0.005158,-0.013105,-0.004772,-0.004026,-0.0097,-0.002328,-0.00345,-0.008536,-0.001105
A,hand1_a_top_seg_1_cropped.jpeg,Right,0.9998,400,400,0.49243,0.820609,-0.0,0.688898,0.721905,-0.038068,0.80192,0.457905,-0.031959,0.797296,0.233713,-0.020685,0.761142,0.09048,0.00773,0.665845,0.305302,-0.038251,0.65581,0.16768,-0.094037,0.665647,0.350783,-0.099391,0.647636,0.398217,-0.096817,0.497854,0.32264,-0.044927,0.535622,0.188847,-0.128025,0.574264,0.407997,-0.149145,0.551271,0.452216,-0.148017,0.366724,0.384762,-0.053925,0.395424,0.252187,-0.14675,0.461295,0.467112,-0.108605,0.436738,0.514171,-0.063273,0.242678,0.435874,-0.061855,0.291738,0.355759,-0.121805,0.349694,0.495782,-0.083061,0.336368,0.529468,-0.041562,0.0,0.0,0.0,0.269087,-0.135187,-0.052138,0.423885,-0.496766,-0.043771,0.417551,-0.803825,-0.02833,0.368035,-1.0,0.010588,0.237514,-0.705776,-0.052389,0.223769,-0.894265,-0.128794,0.237242,-0.643484,-0.136128,0.212574,-0.578516,-0.132602,0.007428,-0.682029,-0.061532,0.059157,-0.865274,-0.175345,0.112082,-0.565122,-0.204271,0.08059,-0.504558,-0.202726,-0.17217,-0.596945,-0.073856,-0.132861,-0.778523,-0.200992,-0.042644,-0.484156,-0.148747,-0.076277,-0.419703,-0.086659,-0.342065,-0.526942,-0.084718,-0.274872,-0.636669,-0.166826,-0.195494,-0.44489,-0.113762,-0.213745,-0.398753,-0.056924,0.196468,-0.098704,-0.038068,0.113023,-0.264,0.006109,-0.004625,-0.224193,0.011274,-0.036153,-0.143233,0.028415,0.173416,-0.515307,-0.03825,-0.010035,-0.137621,-0.055786,0.009837,0.183103,-0.005354,-0.018011,0.047435,0.002574,0.005424,-0.497969,-0.044926,0.037768,-0.133792,-0.083098,0.038642,0.21915,-0.02112,-0.022994,0.044219,0.001128,-0.125706,-0.435847,-0.053924,0.028701,-0.132575,-0.092825,0.06587,0.214925,0.038145,-0.024557,0.047059,0.045332,-0.249751,-0.384735,-0.061855,0.049059,-0.080115,-0.059949,0.057957,0.140023,0.038743,-0.013326,0.033686,0.041499
A,hand1_a_top_seg_2_cropped.jpeg,Right,0.9999,400,400,0.498269,0.788093,-0.0,0.686338,0.715961,-0.048247,0.805554,0.447366,-0.042563,0.793408,0.216117,-0.026277,0.769764,0.069455,0.007335,0.659671,0.282061,-0.064568,0.644519,0.160371,-0.119043,0.658251,0.354485,-0.124395,0.645834,0.405932,-0.124097,0.494897,0.310807,-0.060481,0.523901,0.184114,-0.145478,0.568679,0.406933,-0.167574,0.548133,0.454168,-0.169225,0.369188,0.380122,-0.057045,0.386385,0.250856,-0.143686,0.461013,0.45968,-0.101346,0.441639,0.514453,-0.057319,0.247756,0.424903,-0.053187,0.280897,0.355212,-0.107184,0.343694,0.491176,-0.068866,0.336653,0.525293,-0.030596,0.0,0.0,0.0,0.261702,-0.100373,-0.067136,0.427594,-0.474128,-0.059227,0.410693,-0.795916,-0.036564,0.377792,-1.0,0.010207,0.224595,-0.704154,-0.089848,0.20351,-0.873489,-0.16565,0.222619,-0.603374,-0.173098,0.20534,-0.531785,-0.172683,-0.004692,-0.664154,-0.08416,0.035667,-0.840449,-0.202435,0.097978,-0.530392,-0.233183,0.069387,-0.464663,-0.235479,-0.179619,-0.567699,-0.079379,-0.155689,-0.747577,-0.199941,-0.051842,-0.456994,-0.141025,-0.078802,-0.380776,-0.079761,-0.348594,-0.505386,-0.07401,-0.302477,-0.602363,-0.149149,-0.215094,-0.413166,-0.095828,-0.224892,-0.365691,-0.042575,0.188069,-0.072132,-0.048246,0.119216,-0.268595,0.005684,-0.012146,-0.231249,0.016286,-0.023644,-0.146662,0.033611,0.161402,-0.506031,-0.064568,-0.015152,-0.121691,-0.054475,0.013732,0.194115,-0.005352,-0.012417,0.051446,0.000298,-0.003372,-0.477286,-0.060481,0.029004,-0.126692,-0.084997,0.044779,0.222819,-0.022096,-0.020546,0.047235,-0.00165,-0.129081,-0.40797,-0.057044,0.017197,-0.129267,-0.086641,0.074628,0.208824,0.04234,-0.019374,0.054773,0.044027,-0.250513,-0.36319,-0.053186,0.033141,-0.069691,-0.053998,0.062797,0.135964,0.038318,-0.007041,0.034118,0.03827
A,hand1_a_top_seg_3_cropped.jpeg,Right,0.997,400,400,0.467713,0.796818,-1e-06,0.679467,0.723489,-0.026329,0.785326,0.46332,-0.022381,0.791592,0.234448,-0.020327,0.773469,0.096447,-0.009921,0.697865,0.349933,-0.00979,0.695985,0.211069,-0.077832,0.677627,0.357735,-0.111669,0.671547,0.398303,-0.13192,0.531796,0.363984,-0.027595,0.568972,0.248875,-0.085687,0.564783,0.425537,-0.10259,0.557887,0.446037,-0.111863,0.396897,0.420832,-0.053098,0.425238,0.309411,-0.122789,0.443224,0.473715,-0.090974,0.430059,0.501348,-0.061861,0.276514,0.468359,-0.078865,0.296456,0.38839,-0.126083,0.317996,0.495705,-0.09251,0.313749,0.523416,-0.061568,0.0,0.0,0.0,0.302346,-0.104701,-0.037592,0.453492,-0.476174,-0.031955,0.462438,-0.80296,-0.029022,0.436562,-1.0,-0.014164,0.328614,-0.638068,-0.013977,0.32593,-0.836341,-0.111129,0.299718,-0.626929,-0.159442,0.291037,-0.569006,-0.188357,0.091498,-0.618007,-0.0394,0.144578,-0.782362,-0.122345,0.138597,-0.530121,-0.146479,0.128752,-0.500851,-0.159718,-0.101113,-0.536839,-0.075813,-0.060646,-0.695927,-0.175319,-0.034967,-0.461332,-0.129894,-0.053763,-0.421877,-0.088325,-0.272996,-0.468979,-0.112604,-0.244524,-0.583159,-0.180022,-0.213768,-0.429934,-0.132086,-0.219832,-0.390367,-0.087907,0.211754,-0.07333,-0.026328,0.105858,-0.260169,0.003948,0.006266,-0.228872,0.002054,-0.018123,-0.138001,0.010406,0.230152,-0.446885,-0.009789,-0.00188,-0.138864,-0.068043,-0.018358,0.146666,-0.033837,-0.00608,0.040567,-0.020251,0.064082,-0.432834,-0.027595,0.037176,-0.11511,-0.058092,-0.004189,0.176662,-0.016903,-0.006895,0.0205,-0.009273,-0.070816,-0.375987,-0.053097,0.028342,-0.11142,-0.069691,0.017985,0.164304,0.031815,-0.013164,0.027633,0.029114,-0.191199,-0.328459,-0.078865,0.019941,-0.079969,-0.047218,0.021541,0.107315,0.033573,-0.004248,0.027711,0.030942
A,hand1_a_top_seg_5_cropped.jpeg,Right,0.9998,400,400,0.486002,0.809183,-0.0,0.678001,0.723016,-0.049071,0.803518,0.463339,-0.046532,0.799142,0.236203,-0.033425,0.775238,0.086376,-0.002337,0.659251,0.29378,-0.06037,0.639212,0.166802,-0.115471,0.64687,0.359205,-0.121383,0.636411,0.409069,-0.120375,0.490665,0.316859,-0.055659,0.509869,0.192961,-0.139069,0.55196,0.417354,-0.160052,0.539629,0.460465,-0.161621,0.361884,0.384616,-0.051948,0.373511,0.260105,-0.139488,0.44211,0.469921,-0.098342,0.430487,0.518714,-0.054554,0.243444,0.431706,-0.047839,0.268873,0.362479,-0.099003,0.327173,0.499148,-0.058612,0.327046,0.530632,-0.018922,0.0,0.0,0.0,0.26563,-0.119212,-0.067889,0.439282,-0.478473,-0.064376,0.433228,-0.792714,-0.046242,0.400156,-1.0,-0.003233,0.239689,-0.713057,-0.083522,0.211966,-0.88873,-0.159754,0.22256,-0.622541,-0.167932,0.208091,-0.553555,-0.166538,0.006452,-0.681127,-0.077004,0.033021,-0.85254,-0.192402,0.091253,-0.542093,-0.221431,0.074193,-0.482449,-0.223601,-0.171716,-0.587386,-0.071869,-0.15563,-0.759647,-0.19298,-0.060724,-0.469367,-0.136055,-0.076805,-0.401862,-0.075474,-0.335578,-0.522238,-0.066184,-0.300397,-0.618013,-0.136969,-0.219738,-0.428932,-0.081088,-0.219914,-0.385374,-0.026178,0.191999,-0.086167,-0.049071,0.125517,-0.259677,0.002539,-0.004376,-0.227136,0.013107,-0.023904,-0.149828,0.031088,0.173249,-0.515402,-0.06037,-0.020039,-0.126978,-0.055101,0.007658,0.192403,-0.005911,-0.010459,0.049864,0.001008,0.004664,-0.492323,-0.055659,0.019204,-0.123899,-0.08341,0.042091,0.224394,-0.020983,-0.012332,0.043111,-0.001569,-0.124117,-0.424567,-0.051948,0.011627,-0.124511,-0.08754,0.068599,0.209817,0.041146,-0.011624,0.048793,0.043788,-0.242558,-0.377477,-0.047839,0.025429,-0.069227,-0.051164,0.058301,0.136669,0.040391,-0.000127,0.031484,0.039689
B,hand1_b_bot_seg_1_cropped.jpeg,Right,0.9883,400,400,0.473482,0.921447,1e-06,0.583568,0.824275,-0.079666,0.624876,0.658369,-0.10512,0.517719,0.520917,-0.121849,0.404853,0.458964,-0.135536,0.608842,0.487203,-0.043831,0.600944,0.299012,-0.082761,0.584067,0.184646,-0.12014,0.567364,0.086916,-0.150158,0.512873,0.466706,-0.037706,0.502614,0.272242,-0.067775,0.496024,0.148374,-0.105567,0.49025,0.046394,-0.135521,0.430788,0.487393,-0.042477,0.412258,0.311732,-0.074024,0.413322,0.205895,-0.111118,0.41139,0.115745,-0.137678,0.352057,0.541983,-0.055867,0.331723,0.40873,-0.086659,0.328706,0.323311,-0.107697,0.326942,0.248357,-0.122989,0.0,0.0,0.0,0.125805,-0.111048,-0.091042,0.173012,-0.300643,-0.12013,0.050554,-0.457721,-0.139248,-0.078428,-0.52852,-0.15489,0.154687,-0.496249,-0.05009,0.145662,-0.711312,-0.094579,0.126375,-0.842008,-0.137295,0.107287,-0.953692,-0.1716,0.045016,-0.519673,-0.043091,0.033292,-0.741903,-0.077453,0.025761,-0.883458,-0.120641,0.019162,-1.0,-0.154872,-0.04879,-0.496032,-0.048543,-0.069966,-0.696776,-0.084595,-0.06875,-0.817724,-0.126985,-0.070958,-0.920747,-0.157337,-0.138763,-0.433647,-0.063845,-0.162,-0.585926,-0.099034,-0.165448,-0.683543,-0.123076,-0.167464,-0.769199,-0.140551,0.110086,-0.097173,-0.079667,0.041309,-0.165905,-0.025454,-0.107157,-0.137452,-0.016729,-0.112866,-0.061953,-0.013688,0.13536,-0.434244,-0.043831,-0.007897,-0.188192,-0.038931,-0.016877,-0.114366,-0.037378,-0.016703,-0.09773,-0.030018,0.039391,-0.454742,-0.037707,-0.010259,-0.194463,-0.030069,-0.00659,-0.123868,-0.037792,-0.005775,-0.101981,-0.029954,-0.042694,-0.434054,-0.042478,-0.01853,-0.175662,-0.031547,0.001064,-0.105836,-0.037094,-0.001932,-0.090151,-0.026559,-0.121425,-0.379465,-0.055868,-0.020334,-0.133252,-0.030792,-0.003017,-0.08542,-0.021038,-0.001764,-0.074953,-0.015292
B,hand1_b_bot_seg_2_cropped.jpeg,Right,0.9838,400,400,0.472394,0.918307,1e-06,0.581187,0.818014,-0.078389,0.623219,0.650965,-0.10201,0.511868,0.511686,-0.117257,0.392241,0.455488,-0.129249,0.599957,0.477843,-0.034562,0.595208,0.291264,-0.069359,0.579177,0.178082,-0.106216,0.563502,0.081162,-0.136804,0.503044,0.457109,-0.028152,0.494525,0.267491,-0.052838,0.488438,0.145156,-0.089565,0.482609,0.043484,-0.120098,0.421466,0.477881,-0.033007,0.405045,0.304898,-0.060118,0.407898,0.200557,-0.095883,0.406738,0.1107,-0.122435,0.345353,0.534187,-0.046813,0.325575,0.403655,-0.074082,0.32458,0.318383,-0.093293,0.324524,0.24272,-0.108046,0.0,0.0,0.0,0.12436,-0.114644,-0.089606,0.172406,-0.305595,-0.116607,0.045121,-0.464804,-0.134036,-0.091623,-0.529043,-0.147744,0.145816,-0.503488,-0.039508,0.140386,-0.716765,-0.079284,0.122062,-0.846142,-0.121415,0.104144,-0.95693,-0.15638,0.035035,-0.527189,-0.032181,0.025297,-0.74394,-0.0604,0.01834,-0.88378,-0.102382,0.011676,-1.0,-0.137283,-0.058215,-0.503446,-0.03773,-0.076986,-0.70118,-0.06872,-0.073725,-0.820451,-0.109604,-0.075051,-0.923166,-0.139955,-0.14522,-0.439082,-0.053512,-0.167828,-0.588292,-0.084683,-0.168965,-0.685766,-0.106642,-0.169029,-0.772255,-0.123507,0.108793,-0.100293,-0.078389,0.042032,-0.167049,-0.023621,-0.111351,-0.139279,-0.015247,-0.119627,-0.056198,-0.011992,0.127563,-0.440463,-0.034563,-0.00475,-0.186579,-0.034796,-0.016031,-0.113182,-0.036857,-0.015675,-0.09692,-0.030588,0.03065,-0.461197,-0.028153,-0.008519,-0.189619,-0.024686,-0.006087,-0.122335,-0.036727,-0.005829,-0.101672,-0.030533,-0.050928,-0.440426,-0.033007,-0.016421,-0.172983,-0.027111,0.002853,-0.104341,-0.035766,-0.00116,-0.089858,-0.026552,-0.127041,-0.384119,-0.046813,-0.019778,-0.130532,-0.027269,-0.000995,-0.085272,-0.019211,-5.6e-05,-0.075663,-0.014753
B,hand1_b_bot_seg_3_cropped.jpeg,Right,0.9849,400,400,0.483792,0.917582,1e-06,0.587424,0.825233,-0.086774,0.619868,0.666855,-0.119473,0.514486,0.537084,-0.14177,0.404705,0.475047,-0.161832,0.602205,0.49036,-0.065246,0.588906,0.303925,-0.112753,0.570744,0.187699,-0.154752,0.554829,0.088356,-0.187005,0.506219,0.471788,-0.056686,0.48967,0.277156,-0.094966,0.479339,0.150186,-0.1359,0.473132,0.045311,-0.166793,0.425245,0.495256,-0.058395,0.400952,0.320307,-0.095359,0.395705,0.212029,-0.133822,0.391862,0.119899,-0.160808,0.351259,0.552813,-0.068829,0.327319,0.423085,-0.103196,0.322177,0.338607,-0.125436,0.321144,0.26354,-0.141142,0.0,0.0,0.0,0.118807,-0.105872,-0.099482,0.156002,-0.287442,-0.136968,0.035189,-0.436215,-0.16253,-0.090668,-0.507337,-0.18553,0.135753,-0.489781,-0.0748,0.120506,-0.703516,-0.129264,0.099684,-0.836762,-0.177413,0.08144,-0.950651,-0.21439,0.025711,-0.511073,-0.064987,0.006739,-0.734204,-0.108873,-0.005105,-0.879768,-0.155801,-0.012221,-1.0,-0.191218,-0.067119,-0.484168,-0.066947,-0.09497,-0.684736,-0.109323,-0.100985,-0.808868,-0.153419,-0.105392,-0.914489,-0.184356,-0.15194,-0.418183,-0.078909,-0.179385,-0.566908,-0.118308,-0.185281,-0.663755,-0.143805,-0.186465,-0.749815,-0.16181,0.103632,-0.092349,-0.086775,0.032445,-0.158378,-0.032698,-0.105382,-0.129771,-0.022297,-0.109782,-0.062037,-0.020062,0.118414,-0.427222,-0.065246,-0.0133,-0.186435,-0.047507,-0.018162,-0.116227,-0.041999,-0.015914,-0.099342,-0.032254,0.022427,-0.445795,-0.056686,-0.016548,-0.194631,-0.03828,-0.010331,-0.126971,-0.040934,-0.006207,-0.104875,-0.030893,-0.058546,-0.422326,-0.058396,-0.024293,-0.17495,-0.036963,-0.005247,-0.108277,-0.038464,-0.003844,-0.09213,-0.026985,-0.132533,-0.364769,-0.06883,-0.02394,-0.129728,-0.034367,-0.005142,-0.084477,-0.02224,-0.001033,-0.075068,-0.015705
